Country.Name,Country.Code,Indicator.Name,Indicator.Code,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X,Short.Name,Income.Group
"Iran, Islamic Rep.",IRN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,36.51839828,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,52.31975937,Not Available,Not Available,Not Available,Not Available,65.53140259,Not Available,Not Available,Not Available,Not Available,73.06024933,Not Available,Not Available,Not Available,Not Available,Not Available,77,Not Available,Not Available,82.44120026,82.33132172,Not Available,82.96230316,Not Available,Not Available,Not Available,83.62599182,84.62680054,84.70523834,Not Available,Not Available,Not Available,Not Available,Iran,Upper middle income
Iraq,IRQ,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,36.59999847,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Iraq,Upper middle income
Iraq,IRQ,Exports of goods and services (current US$),NE.EXP.GNFS.CD,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1225147018,1687411598,1519074797,2378672829,7029800203,7042668473,10185912631,11148662377,13467998645,23617676939,33905858449,12149678293,11224455611,9994853651,12011257639,12141202959,7776777099,13146027662,12305242843,14418140881,13848182695,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,20610853097,27149419158,33242357539,40777440300,66238927911,43994500000,54598900000,82505400000,96898668089,9.31E+10,9.70E+10,62728271351,5.59E+10,Not Available,Not Available,Iraq,Upper middle income
Iraq,IRQ,GDP per capita (current US$),NY.GDP.PCAP.CD,231.0256172,245.0319883,254.7013341,250.7870782,288.1634817,Not Available,Not Available,Not Available,312.8222774,313.8174456,330.8852017,376.8899272,388.1045433,468.8421103,1018.073913,1151.817729,1471.211339,1592.028539,1847.896567,2852.39336,3911.543003,2735.548508,2950.159183,2738.137352,3077.998472,3099.881525,2957.240514,3475.096661,3753.529911,3852.149758,10297.42767,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1391.816923,1849.603911,2351.812429,3129.224922,4521.03247,3735.144836,4502.749048,5854.614497,6651.12242,6925.224046,6703.074737,4974.02693,4609.600694,Not Available,Not Available,Iraq,Upper middle income
Iraq,IRQ,Imports of goods and services (current US$),NE.IMP.GNFS.CD,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,662559507.1,888826025.5,883748873.5,1263453285,3636302066,5729766339,6376227565,8100575686,7520487640,11784964443,16856078564,23935997291,28299497487,13368607269,13883563847,14396912190,12459311676,14790607913,14258282406,15012222580,13361852686,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,23428329928,30669639946,25156254389,25046687814,40441240440,43868500000,47207400000,51552600000,63438829972,8.45E+10,8.67E+10,73515935851,6.99E+10,Not Available,Not Available,Iraq,Upper middle income
Iraq,IRQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,48.022,49.222,50.409,51.58,52.73,53.839,54.885,55.85,56.723,57.5,58.199,58.849,59.47,60.062,60.611,61.046,61.276,61.263,61.018,60.598,60.127,59.766,59.647,59.85,60.393,61.236,62.285,63.393,64.436,65.354,66.118,66.735,67.256,67.722,68.134,68.489,68.776,68.987,69.122,69.183,69.169,69.081,68.932,68.742,68.537,68.35,68.217,68.156,68.177,68.283,68.465,68.702,68.963,69.219,69.458,69.672,69.862,Not Available,Not Available,Iraq,Upper middle income
Iraq,IRQ,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,74.05220032,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,43.68328094,Not Available,Not Available,Not Available,Not Available,Not Available,Iraq,Upper middle income
Ireland,IRL,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,46.86000061,45.13999939,43.77000046,43.79000092,43.90999985,43.90000153,44.22999954,45.5,44.81000137,44.68000031,45.02999878,46.08000183,47.47000122,48.43999863,49.79000092,52.11000061,54.59000015,56.43999863,57.00999832,57.09000015,57.02000046,57.36999893,59.27000046,60.38999939,61.08000183,59.5,54.50999832,52.29999924,51.40000153,51.13000107,52.36000061,53.20999908,54.36999893,55.47000122,Not Available,Not Available,Ireland,High income
Ireland,IRL,Exports of goods and services (current US$),NE.EXP.GNFS.CD,572620663,670336524.2,676034211,756372067.6,856651651.6,950948957.2,1072019668,1173664975,1180992496,1311077535,1454713287,1647964354,1954551731,2545049971,3009301786,3624898432,3914805831,4973659019,6547734068,8154123308,9647829260,8965732666,9241996199,9750543800,10718900034,11493861081,14098607885,17787862945,20998869586,23122497265,26973256220,27672816580,32659491625,33215376788,38803597644,50831600631,56772634325,63903021012,76059774139,85474976774,94351497052,1.04031E+11,1.15762E+11,1.32827E+11,1.56137E+11,1.68438E+11,1.83351E+11,2.18046E+11,2.31347E+11,2.20334E+11,2.28856E+11,2.46475E+11,2.41114E+11,2.53844E+11,2.91598E+11,3.62232E+11,3.70606E+11,Not Available,Not Available,Ireland,High income
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,685.6147124,739.2764064,797.0062884,852.1353017,965.1354227,1023.773726,1074.506506,1152.004952,1124.516636,1291.34992,1488.294699,1705.972597,2082.956898,2427.172299,2519.941695,2976.960967,2923.079668,3431.177511,4405.256137,5436.464923,6380.069479,5993.322973,6168.016379,5922.325869,5698.844185,6018.935085,8121.886303,9593.388328,10728.70371,11189.20062,14048.10624,14104.07833,15733.20401,14674.6146,15921.97488,19181.40048,20860.59696,22542.8108,24263.23885,26284.30478,26241.51451,28227.27791,32539.95499,41107.03151,47630.92531,50878.63814,54306.91278,61359.64477,61257.89572,52104.03515,48671.88829,52224.01021,49177.44026,52060.46867,55899.16325,62544.63165,64175.43772,Not Available,Not Available,Ireland,High income
